field,value,fiscal_year,currency
total_revenue,10882918.64,2024,USD
gross_profit,3155942.37,2024,USD
operating_expenses,1803195.29,2024,USD
operating_income,1352747.08,2024,USD
ebitda,1637591.53,2024,USD
depreciation_amortization,284844.45,2024,USD
interest_expense,538553.37,2024,USD
income_before_tax,814193.71,2024,USD
tax_expense,174546.41,2024,USD
net_income,639647.3,2024,USD
total_assets,23094668.4,2024,USD
current_assets,11962918.89,2024,USD
cash_and_equivalents,2241754.9,2024,USD
accounts_receivable,3770675.93,2024,USD
inventory,4336568.19,2024,USD
total_liabilities,14377061.78,2024,USD
current_liabilities,7063895.08,2024,USD
long_term_debt,6539874.46,2024,USD
total_equity,8717606.62,2024,USD
operating_cash_flow,954653.77,2024,USD
investing_cash_flow,-813363.23,2024,USD
financing_cash_flow,-717405.15,2024,USD
free_cash_flow,141290.54,2024,USD
debt_to_equity,1.65,2024,USD
current_ratio,1.69,2024,USD
debt_to_ebitda,8.78,2024,USD
interest_coverage_ratio,2.51,2024,USD
gross_margin,0.29,2024,USD
ebitda_margin,0.15,2024,USD
net_margin,0.06,2024,USD
balance_sheet_check,True,2024,USD
