field,value,fiscal_year,currency
total_revenue,16003196.15,2024,USD
gross_profit,3171320.93,2024,USD
operating_expenses,1430696.93,2024,USD
operating_income,1740624.0,2024,USD
ebitda,2092253.32,2024,USD
depreciation_amortization,351629.32,2024,USD
interest_expense,578254.23,2024,USD
income_before_tax,1162369.77,2024,USD
tax_expense,283044.66,2024,USD
net_income,879325.11,2024,USD
total_assets,30864341.75,2024,USD
current_assets,12418526.6,2024,USD
cash_and_equivalents,3290662.44,2024,USD
accounts_receivable,3415906.45,2024,USD
inventory,3761403.18,2024,USD
total_liabilities,15221263.71,2024,USD
current_liabilities,8799679.96,2024,USD
long_term_debt,7349691.75,2024,USD
total_equity,15643078.03,2024,USD
operating_cash_flow,1258735.99,2024,USD
investing_cash_flow,-623859.36,2024,USD
financing_cash_flow,-976813.52,2024,USD
free_cash_flow,634876.63,2024,USD
debt_to_equity,0.97,2024,USD
current_ratio,1.41,2024,USD
debt_to_ebitda,7.28,2024,USD
interest_coverage_ratio,3.01,2024,USD
gross_margin,0.2,2024,USD
ebitda_margin,0.13,2024,USD
net_margin,0.05,2024,USD
balance_sheet_check,True,2024,USD
