field,value,fiscal_year,currency
total_revenue,9976024.89,2024,USD
gross_profit,6287534.98,2024,USD
operating_expenses,5349756.38,2024,USD
operating_income,937778.6,2024,USD
ebitda,1185430.88,2024,USD
depreciation_amortization,247652.28,2024,USD
interest_expense,323640.69,2024,USD
income_before_tax,614137.91,2024,USD
tax_expense,157453.2,2024,USD
net_income,456684.71,2024,USD
total_assets,13770072.54,2024,USD
current_assets,6749056.02,2024,USD
cash_and_equivalents,1061892.6,2024,USD
accounts_receivable,1806128.1,2024,USD
inventory,2430302.09,2024,USD
total_liabilities,4881622.71,2024,USD
current_liabilities,4579100.76,2024,USD
long_term_debt,4635440.13,2024,USD
total_equity,8888449.84,2024,USD
operating_cash_flow,1068372.7,2024,USD
investing_cash_flow,-875345.35,2024,USD
financing_cash_flow,-232305.58,2024,USD
free_cash_flow,193027.35,2024,USD
debt_to_equity,0.55,2024,USD
current_ratio,1.47,2024,USD
debt_to_ebitda,4.12,2024,USD
interest_coverage_ratio,2.9,2024,USD
gross_margin,0.63,2024,USD
ebitda_margin,0.12,2024,USD
net_margin,0.05,2024,USD
balance_sheet_check,True,2024,USD
