field,value,fiscal_year,currency
total_revenue,8152158.88,2024,USD
gross_profit,4732525.33,2024,USD
operating_expenses,3760354.43,2024,USD
operating_income,972170.9,2024,USD
ebitda,1341518.07,2024,USD
depreciation_amortization,369347.17,2024,USD
interest_expense,207499.91,2024,USD
income_before_tax,764670.99,2024,USD
tax_expense,194431.47,2024,USD
net_income,570239.52,2024,USD
total_assets,10407760.91,2024,USD
current_assets,4098504.24,2024,USD
cash_and_equivalents,676676.39,2024,USD
accounts_receivable,1675959.23,2024,USD
inventory,1544119.74,2024,USD
total_liabilities,3486229.69,2024,USD
current_liabilities,2152263.59,2024,USD
long_term_debt,3726191.23,2024,USD
total_equity,6921531.22,2024,USD
operating_cash_flow,1098312.17,2024,USD
investing_cash_flow,-745206.9,2024,USD
financing_cash_flow,-355737.86,2024,USD
free_cash_flow,353105.27,2024,USD
debt_to_equity,0.5,2024,USD
current_ratio,1.9,2024,USD
debt_to_ebitda,2.6,2024,USD
interest_coverage_ratio,4.69,2024,USD
gross_margin,0.58,2024,USD
ebitda_margin,0.16,2024,USD
net_margin,0.07,2024,USD
balance_sheet_check,True,2024,USD
