field,value,fiscal_year,currency
total_revenue,9380781.36,2024,USD
gross_profit,3117633.58,2024,USD
operating_expenses,2603174.9,2024,USD
operating_income,514458.68,2024,USD
ebitda,908936.73,2024,USD
depreciation_amortization,394478.05,2024,USD
interest_expense,211122.38,2024,USD
income_before_tax,303336.3,2024,USD
tax_expense,78591.24,2024,USD
net_income,224745.06,2024,USD
total_assets,13768915.81,2024,USD
current_assets,4263973.71,2024,USD
cash_and_equivalents,1040998.03,2024,USD
accounts_receivable,1236188.09,2024,USD
inventory,1905778.21,2024,USD
total_liabilities,9144037.17,2024,USD
current_liabilities,2337080.08,2024,USD
long_term_debt,3745435.46,2024,USD
total_equity,4624878.64,2024,USD
operating_cash_flow,967553.13,2024,USD
investing_cash_flow,-427807.23,2024,USD
financing_cash_flow,-434482.94,2024,USD
free_cash_flow,539745.89,2024,USD
debt_to_equity,1.98,2024,USD
current_ratio,1.82,2024,USD
debt_to_ebitda,10.06,2024,USD
interest_coverage_ratio,2.44,2024,USD
gross_margin,0.33,2024,USD
ebitda_margin,0.1,2024,USD
net_margin,0.02,2024,USD
balance_sheet_check,True,2024,USD
