field,value,fiscal_year,currency
total_revenue,8031656.66,2024,USD
gross_profit,3195323.26,2024,USD
operating_expenses,2123933.72,2024,USD
operating_income,1071389.54,2024,USD
ebitda,1350624.56,2024,USD
depreciation_amortization,279235.01,2024,USD
interest_expense,236865.06,2024,USD
income_before_tax,834524.48,2024,USD
tax_expense,180522.68,2024,USD
net_income,654001.8,2024,USD
total_assets,18305334.45,2024,USD
current_assets,6492943.05,2024,USD
cash_and_equivalents,1657581.5,2024,USD
accounts_receivable,1624123.34,2024,USD
inventory,3079410.75,2024,USD
total_liabilities,8715131.46,2024,USD
current_liabilities,4052525.86,2024,USD
long_term_debt,3402380.26,2024,USD
total_equity,9590202.99,2024,USD
operating_cash_flow,1107473.67,2024,USD
investing_cash_flow,-757502.93,2024,USD
financing_cash_flow,-457376.56,2024,USD
free_cash_flow,349970.74,2024,USD
debt_to_equity,0.91,2024,USD
current_ratio,1.6,2024,USD
debt_to_ebitda,6.45,2024,USD
interest_coverage_ratio,4.52,2024,USD
gross_margin,0.4,2024,USD
ebitda_margin,0.17,2024,USD
net_margin,0.08,2024,USD
balance_sheet_check,True,2024,USD
