field,value,fiscal_year,currency
total_revenue,2546185.88,2024,USD
gross_profit,761158.3,2024,USD
operating_expenses,499867.93,2024,USD
operating_income,261290.38,2024,USD
ebitda,320275.74,2024,USD
depreciation_amortization,58985.36,2024,USD
interest_expense,131417.23,2024,USD
income_before_tax,129873.15,2024,USD
tax_expense,34807.24,2024,USD
net_income,95065.91,2024,USD
total_assets,5514648.83,2024,USD
current_assets,2254784.32,2024,USD
cash_and_equivalents,669127.68,2024,USD
accounts_receivable,999083.08,2024,USD
inventory,372498.37,2024,USD
total_liabilities,2799426.45,2024,USD
current_liabilities,897498.45,2024,USD
long_term_debt,1742393.26,2024,USD
total_equity,2715222.38,2024,USD
operating_cash_flow,149849.43,2024,USD
investing_cash_flow,-154019.33,2024,USD
financing_cash_flow,-214493.18,2024,USD
free_cash_flow,-4169.9,2024,USD
debt_to_equity,1.03,2024,USD
current_ratio,2.51,2024,USD
debt_to_ebitda,8.74,2024,USD
interest_coverage_ratio,1.99,2024,USD
gross_margin,0.3,2024,USD
ebitda_margin,0.13,2024,USD
net_margin,0.04,2024,USD
balance_sheet_check,True,2024,USD
