field,value,fiscal_year,currency
total_revenue,16111978.27,2024,USD
gross_profit,8351885.84,2024,USD
operating_expenses,6025145.41,2024,USD
operating_income,2326740.43,2024,USD
ebitda,2706043.82,2024,USD
depreciation_amortization,379303.38,2024,USD
interest_expense,674152.4,2024,USD
income_before_tax,1652588.03,2024,USD
tax_expense,396708.25,2024,USD
net_income,1255879.78,2024,USD
total_assets,35140393.38,2024,USD
current_assets,12852156.56,2024,USD
cash_and_equivalents,4434124.04,2024,USD
accounts_receivable,4826069.18,2024,USD
inventory,2687053.6,2024,USD
total_liabilities,12688768.12,2024,USD
current_liabilities,6220271.82,2024,USD
long_term_debt,10633244.6,2024,USD
total_equity,22451625.27,2024,USD
operating_cash_flow,2214182.87,2024,USD
investing_cash_flow,-671574.6,2024,USD
financing_cash_flow,-698933.78,2024,USD
free_cash_flow,1542608.26,2024,USD
debt_to_equity,0.57,2024,USD
current_ratio,2.07,2024,USD
debt_to_ebitda,4.69,2024,USD
interest_coverage_ratio,3.45,2024,USD
gross_margin,0.52,2024,USD
ebitda_margin,0.17,2024,USD
net_margin,0.08,2024,USD
balance_sheet_check,True,2024,USD
