field,value,fiscal_year,currency
total_revenue,5812218.86,2024,USD
gross_profit,1404451.82,2024,USD
operating_expenses,758096.49,2024,USD
operating_income,646355.34,2024,USD
ebitda,840820.81,2024,USD
depreciation_amortization,194465.48,2024,USD
interest_expense,93358.12,2024,USD
income_before_tax,552997.21,2024,USD
tax_expense,126036.18,2024,USD
net_income,426961.03,2024,USD
total_assets,10857053.25,2024,USD
current_assets,4746715.21,2024,USD
cash_and_equivalents,1402402.56,2024,USD
accounts_receivable,1687715.01,2024,USD
inventory,920394.76,2024,USD
total_liabilities,4074519.62,2024,USD
current_liabilities,2740356.62,2024,USD
long_term_debt,1755874.1,2024,USD
total_equity,6782533.64,2024,USD
operating_cash_flow,358568.59,2024,USD
investing_cash_flow,-345174.82,2024,USD
financing_cash_flow,-227192.39,2024,USD
free_cash_flow,13393.77,2024,USD
debt_to_equity,0.6,2024,USD
current_ratio,1.73,2024,USD
debt_to_ebitda,4.85,2024,USD
interest_coverage_ratio,6.92,2024,USD
gross_margin,0.24,2024,USD
ebitda_margin,0.14,2024,USD
net_margin,0.07,2024,USD
balance_sheet_check,True,2024,USD
