field,value,fiscal_year,currency
total_revenue,6791904.13,2024,USD
gross_profit,4678501.36,2024,USD
operating_expenses,3128224.28,2024,USD
operating_income,1550277.09,2024,USD
ebitda,1726064.45,2024,USD
depreciation_amortization,175787.36,2024,USD
interest_expense,334956.57,2024,USD
income_before_tax,1215320.52,2024,USD
tax_expense,295455.47,2024,USD
net_income,919865.06,2024,USD
total_assets,7517412.64,2024,USD
current_assets,3047409.99,2024,USD
cash_and_equivalents,539069.57,2024,USD
accounts_receivable,1306284.73,2024,USD
inventory,980067.25,2024,USD
total_liabilities,1978172.93,2024,USD
current_liabilities,1450474.95,2024,USD
long_term_debt,4211082.33,2024,USD
total_equity,5539239.71,2024,USD
operating_cash_flow,1086564.98,2024,USD
investing_cash_flow,-323078.53,2024,USD
financing_cash_flow,-572076.37,2024,USD
free_cash_flow,763486.45,2024,USD
debt_to_equity,0.36,2024,USD
current_ratio,2.1,2024,USD
debt_to_ebitda,1.15,2024,USD
interest_coverage_ratio,4.63,2024,USD
gross_margin,0.69,2024,USD
ebitda_margin,0.25,2024,USD
net_margin,0.14,2024,USD
balance_sheet_check,True,2024,USD
