field,value,fiscal_year,currency
total_revenue,4390240.52,2024,USD
gross_profit,3228081.12,2024,USD
operating_expenses,2537312.85,2024,USD
operating_income,690768.28,2024,USD
ebitda,868093.81,2024,USD
depreciation_amortization,177325.53,2024,USD
interest_expense,132355.3,2024,USD
income_before_tax,558412.98,2024,USD
tax_expense,141447.75,2024,USD
net_income,416965.23,2024,USD
total_assets,6053408.97,2024,USD
current_assets,2895207.09,2024,USD
cash_and_equivalents,481784.47,2024,USD
accounts_receivable,813102.1,2024,USD
inventory,1369616.04,2024,USD
total_liabilities,2016620.27,2024,USD
current_liabilities,1286272.02,2024,USD
long_term_debt,2477275.59,2024,USD
total_equity,4036788.7,2024,USD
operating_cash_flow,513808.1,2024,USD
investing_cash_flow,-164452.11,2024,USD
financing_cash_flow,-125150.78,2024,USD
free_cash_flow,349355.99,2024,USD
debt_to_equity,0.5,2024,USD
current_ratio,2.25,2024,USD
debt_to_ebitda,2.32,2024,USD
interest_coverage_ratio,5.22,2024,USD
gross_margin,0.74,2024,USD
ebitda_margin,0.2,2024,USD
net_margin,0.09,2024,USD
balance_sheet_check,True,2024,USD
