field,value,fiscal_year,currency
total_revenue,5200015.65,2024,USD
gross_profit,1596041.15,2024,USD
operating_expenses,972460.01,2024,USD
operating_income,623581.15,2024,USD
ebitda,834440.35,2024,USD
depreciation_amortization,210859.21,2024,USD
interest_expense,115292.81,2024,USD
income_before_tax,508288.33,2024,USD
tax_expense,108872.27,2024,USD
net_income,399416.07,2024,USD
total_assets,13143177.87,2024,USD
current_assets,5534103.05,2024,USD
cash_and_equivalents,1055932.33,2024,USD
accounts_receivable,2054989.84,2024,USD
inventory,1590312.4,2024,USD
total_liabilities,7844373.64,2024,USD
current_liabilities,2327655.04,2024,USD
long_term_debt,2178669.01,2024,USD
total_equity,5298804.23,2024,USD
operating_cash_flow,797880.07,2024,USD
investing_cash_flow,-511037.72,2024,USD
financing_cash_flow,-137423.07,2024,USD
free_cash_flow,286842.35,2024,USD
debt_to_equity,1.48,2024,USD
current_ratio,2.38,2024,USD
debt_to_ebitda,9.4,2024,USD
interest_coverage_ratio,5.41,2024,USD
gross_margin,0.31,2024,USD
ebitda_margin,0.16,2024,USD
net_margin,0.08,2024,USD
balance_sheet_check,True,2024,USD
