field,value,fiscal_year,currency
total_revenue,18587824.36,2024,USD
gross_profit,4583420.57,2024,USD
operating_expenses,2081240.61,2024,USD
operating_income,2502179.96,2024,USD
ebitda,3034359.64,2024,USD
depreciation_amortization,532179.68,2024,USD
interest_expense,667938.26,2024,USD
income_before_tax,1834241.7,2024,USD
tax_expense,424366.97,2024,USD
net_income,1409874.72,2024,USD
total_assets,47685731.86,2024,USD
current_assets,18262165.62,2024,USD
cash_and_equivalents,5442172.78,2024,USD
accounts_receivable,5339401.82,2024,USD
inventory,5784083.54,2024,USD
total_liabilities,26692565.79,2024,USD
current_liabilities,7529135.95,2024,USD
long_term_debt,8128614.5,2024,USD
total_equity,20993166.07,2024,USD
operating_cash_flow,2170762.7,2024,USD
investing_cash_flow,-1848766.37,2024,USD
financing_cash_flow,-971427.26,2024,USD
free_cash_flow,321996.33,2024,USD
debt_to_equity,1.27,2024,USD
current_ratio,2.43,2024,USD
debt_to_ebitda,8.8,2024,USD
interest_coverage_ratio,3.75,2024,USD
gross_margin,0.25,2024,USD
ebitda_margin,0.16,2024,USD
net_margin,0.08,2024,USD
balance_sheet_check,True,2024,USD
