field,value,fiscal_year,currency
total_revenue,1343770.5,2024,USD
gross_profit,347225.72,2024,USD
operating_expenses,207230.63,2024,USD
operating_income,139995.08,2024,USD
ebitda,169834.79,2024,USD
depreciation_amortization,29839.7,2024,USD
interest_expense,54322.24,2024,USD
income_before_tax,85672.84,2024,USD
tax_expense,19668.81,2024,USD
net_income,66004.03,2024,USD
total_assets,2675813.32,2024,USD
current_assets,1257898.93,2024,USD
cash_and_equivalents,218575.29,2024,USD
accounts_receivable,559785.86,2024,USD
inventory,334214.75,2024,USD
total_liabilities,1029576.24,2024,USD
current_liabilities,504704.81,2024,USD
long_term_debt,674172.63,2024,USD
total_equity,1646237.09,2024,USD
operating_cash_flow,154828.35,2024,USD
investing_cash_flow,-111328.11,2024,USD
financing_cash_flow,-47128.57,2024,USD
free_cash_flow,43500.24,2024,USD
debt_to_equity,0.63,2024,USD
current_ratio,2.49,2024,USD
debt_to_ebitda,6.06,2024,USD
interest_coverage_ratio,2.58,2024,USD
gross_margin,0.26,2024,USD
ebitda_margin,0.13,2024,USD
net_margin,0.05,2024,USD
balance_sheet_check,True,2024,USD
