field,value,fiscal_year,currency
total_revenue,5363483.16,2024,USD
gross_profit,3299368.55,2024,USD
operating_expenses,2094048.24,2024,USD
operating_income,1205320.31,2024,USD
ebitda,1399426.45,2024,USD
depreciation_amortization,194106.14,2024,USD
interest_expense,168503.67,2024,USD
income_before_tax,1036816.64,2024,USD
tax_expense,246217.91,2024,USD
net_income,790598.73,2024,USD
total_assets,9246678.66,2024,USD
current_assets,4136965.78,2024,USD
cash_and_equivalents,1329756.62,2024,USD
accounts_receivable,1145013.88,2024,USD
inventory,1247579.92,2024,USD
total_liabilities,2881234.4,2024,USD
current_liabilities,2881234.4,2024,USD
long_term_debt,3011935.07,2024,USD
total_equity,6365444.26,2024,USD
operating_cash_flow,722211.54,2024,USD
investing_cash_flow,-250590.82,2024,USD
financing_cash_flow,-440947.37,2024,USD
free_cash_flow,471620.72,2024,USD
debt_to_equity,0.45,2024,USD
current_ratio,1.44,2024,USD
debt_to_ebitda,2.06,2024,USD
interest_coverage_ratio,7.15,2024,USD
gross_margin,0.62,2024,USD
ebitda_margin,0.26,2024,USD
net_margin,0.15,2024,USD
balance_sheet_check,True,2024,USD
