field,value,fiscal_year,currency
total_revenue,4188840.12,2024,USD
gross_profit,1772369.85,2024,USD
operating_expenses,1256063.23,2024,USD
operating_income,516306.62,2024,USD
ebitda,640405.41,2024,USD
depreciation_amortization,124098.78,2024,USD
interest_expense,183849.34,2024,USD
income_before_tax,332457.29,2024,USD
tax_expense,71893.92,2024,USD
net_income,260563.37,2024,USD
total_assets,6506832.3,2024,USD
current_assets,3437938.21,2024,USD
cash_and_equivalents,795656.04,2024,USD
accounts_receivable,1192593.49,2024,USD
inventory,1099227.47,2024,USD
total_liabilities,2043480.15,2024,USD
current_liabilities,1847494.38,2024,USD
long_term_debt,2477781.72,2024,USD
total_equity,4463352.15,2024,USD
operating_cash_flow,506762.82,2024,USD
investing_cash_flow,-144905.33,2024,USD
financing_cash_flow,-299704.89,2024,USD
free_cash_flow,361857.49,2024,USD
debt_to_equity,0.46,2024,USD
current_ratio,1.86,2024,USD
debt_to_ebitda,3.19,2024,USD
interest_coverage_ratio,2.81,2024,USD
gross_margin,0.42,2024,USD
ebitda_margin,0.15,2024,USD
net_margin,0.06,2024,USD
balance_sheet_check,True,2024,USD
