field,value,fiscal_year,currency
total_revenue,9802956.41,2024,USD
gross_profit,2042811.8,2024,USD
operating_expenses,1636795.62,2024,USD
operating_income,406016.18,2024,USD
ebitda,783997.66,2024,USD
depreciation_amortization,377981.48,2024,USD
interest_expense,192789.57,2024,USD
income_before_tax,213226.61,2024,USD
tax_expense,58512.19,2024,USD
net_income,154714.42,2024,USD
total_assets,20984695.69,2024,USD
current_assets,9775846.81,2024,USD
cash_and_equivalents,2666512.72,2024,USD
accounts_receivable,3938188.57,2024,USD
inventory,2444119.11,2024,USD
total_liabilities,10418028.79,2024,USD
current_liabilities,7170225.09,2024,USD
long_term_debt,3552574.03,2024,USD
total_equity,10566666.9,2024,USD
operating_cash_flow,650985.7,2024,USD
investing_cash_flow,-631936.08,2024,USD
financing_cash_flow,-527685.61,2024,USD
free_cash_flow,19049.62,2024,USD
debt_to_equity,0.99,2024,USD
current_ratio,1.36,2024,USD
debt_to_ebitda,13.29,2024,USD
interest_coverage_ratio,2.11,2024,USD
gross_margin,0.21,2024,USD
ebitda_margin,0.08,2024,USD
net_margin,0.02,2024,USD
balance_sheet_check,True,2024,USD
