field,value,fiscal_year,currency
total_revenue,13473660.18,2024,USD
gross_profit,2611526.57,2024,USD
operating_expenses,2201662.36,2024,USD
operating_income,409864.21,2024,USD
ebitda,951936.97,2024,USD
depreciation_amortization,542072.76,2024,USD
interest_expense,378379.23,2024,USD
income_before_tax,31484.98,2024,USD
tax_expense,8019.56,2024,USD
net_income,23465.41,2024,USD
total_assets,28915005.78,2024,USD
current_assets,11766262.22,2024,USD
cash_and_equivalents,2536633.55,2024,USD
accounts_receivable,3884827.37,2024,USD
inventory,2927307.87,2024,USD
total_liabilities,17494732.26,2024,USD
current_liabilities,4243875.31,2024,USD
long_term_debt,5083133.88,2024,USD
total_equity,11420273.53,2024,USD
operating_cash_flow,1152754.49,2024,USD
investing_cash_flow,-410651.68,2024,USD
financing_cash_flow,-449132.69,2024,USD
free_cash_flow,742102.81,2024,USD
debt_to_equity,1.53,2024,USD
current_ratio,2.77,2024,USD
debt_to_ebitda,18.38,2024,USD
interest_coverage_ratio,1.08,2024,USD
gross_margin,0.19,2024,USD
ebitda_margin,0.07,2024,USD
net_margin,0.0,2024,USD
balance_sheet_check,True,2024,USD
