field,value,fiscal_year,currency
total_revenue,4543498.65,2024,USD
gross_profit,2902059.07,2024,USD
operating_expenses,2281960.63,2024,USD
operating_income,620098.44,2024,USD
ebitda,752766.75,2024,USD
depreciation_amortization,132668.31,2024,USD
interest_expense,155569.96,2024,USD
income_before_tax,464528.47,2024,USD
tax_expense,121476.41,2024,USD
net_income,343052.06,2024,USD
total_assets,6419960.65,2024,USD
current_assets,2984130.68,2024,USD
cash_and_equivalents,893934.66,2024,USD
accounts_receivable,1012572.17,2024,USD
inventory,915609.28,2024,USD
total_liabilities,1934364.98,2024,USD
current_liabilities,1934364.98,2024,USD
long_term_debt,1988882.55,2024,USD
total_equity,4485595.68,2024,USD
operating_cash_flow,430540.23,2024,USD
investing_cash_flow,-243943.39,2024,USD
financing_cash_flow,-208947.27,2024,USD
free_cash_flow,186596.84,2024,USD
debt_to_equity,0.43,2024,USD
current_ratio,1.54,2024,USD
debt_to_ebitda,2.57,2024,USD
interest_coverage_ratio,3.99,2024,USD
gross_margin,0.64,2024,USD
ebitda_margin,0.17,2024,USD
net_margin,0.08,2024,USD
balance_sheet_check,True,2024,USD
