field,value,fiscal_year,currency
total_revenue,9533952.97,2024,USD
gross_profit,5423984.37,2024,USD
operating_expenses,3069258.66,2024,USD
operating_income,2354725.7,2024,USD
ebitda,2752775.09,2024,USD
depreciation_amortization,398049.39,2024,USD
interest_expense,271070.83,2024,USD
income_before_tax,2083654.87,2024,USD
tax_expense,498716.21,2024,USD
net_income,1584938.66,2024,USD
total_assets,12962668.31,2024,USD
current_assets,6752761.48,2024,USD
cash_and_equivalents,1034044.69,2024,USD
accounts_receivable,1966514.38,2024,USD
inventory,2065393.65,2024,USD
total_liabilities,5000695.67,2024,USD
current_liabilities,5000695.67,2024,USD
long_term_debt,3290528.08,2024,USD
total_equity,7961972.63,2024,USD
operating_cash_flow,2176800.21,2024,USD
investing_cash_flow,-318504.03,2024,USD
financing_cash_flow,-408203.53,2024,USD
free_cash_flow,1858296.18,2024,USD
debt_to_equity,0.63,2024,USD
current_ratio,1.35,2024,USD
debt_to_ebitda,1.82,2024,USD
interest_coverage_ratio,8.69,2024,USD
gross_margin,0.57,2024,USD
ebitda_margin,0.29,2024,USD
net_margin,0.17,2024,USD
balance_sheet_check,True,2024,USD
