field,value,fiscal_year,currency
total_revenue,8641506.54,2024,USD
gross_profit,2969431.46,2024,USD
operating_expenses,1772120.38,2024,USD
operating_income,1197311.09,2024,USD
ebitda,1376824.6,2024,USD
depreciation_amortization,179513.51,2024,USD
interest_expense,215733.94,2024,USD
income_before_tax,981577.14,2024,USD
tax_expense,222479.58,2024,USD
net_income,759097.57,2024,USD
total_assets,16599494.98,2024,USD
current_assets,5702948.23,2024,USD
cash_and_equivalents,915208.01,2024,USD
accounts_receivable,2271732.99,2024,USD
inventory,1919821.11,2024,USD
total_liabilities,7390911.74,2024,USD
current_liabilities,2358053.82,2024,USD
long_term_debt,2643818.21,2024,USD
total_equity,9208583.23,2024,USD
operating_cash_flow,1178859.68,2024,USD
investing_cash_flow,-569705.64,2024,USD
financing_cash_flow,-161022.81,2024,USD
free_cash_flow,609154.05,2024,USD
debt_to_equity,0.8,2024,USD
current_ratio,2.42,2024,USD
debt_to_ebitda,5.37,2024,USD
interest_coverage_ratio,5.55,2024,USD
gross_margin,0.34,2024,USD
ebitda_margin,0.16,2024,USD
net_margin,0.09,2024,USD
balance_sheet_check,True,2024,USD
