field,value,fiscal_year,currency
total_revenue,6070930.15,2024,USD
gross_profit,1550660.95,2024,USD
operating_expenses,863830.82,2024,USD
operating_income,686830.13,2024,USD
ebitda,919707.66,2024,USD
depreciation_amortization,232877.53,2024,USD
interest_expense,179474.49,2024,USD
income_before_tax,507355.64,2024,USD
tax_expense,114745.48,2024,USD
net_income,392610.16,2024,USD
total_assets,8412767.34,2024,USD
current_assets,3969517.76,2024,USD
cash_and_equivalents,880646.51,2024,USD
accounts_receivable,1538697.25,2024,USD
inventory,1144495.18,2024,USD
total_liabilities,3795655.04,2024,USD
current_liabilities,1933062.15,2024,USD
long_term_debt,2469320.76,2024,USD
total_equity,4617112.31,2024,USD
operating_cash_flow,754203.03,2024,USD
investing_cash_flow,-341047.6,2024,USD
financing_cash_flow,-333884.13,2024,USD
free_cash_flow,413155.42,2024,USD
debt_to_equity,0.82,2024,USD
current_ratio,2.05,2024,USD
debt_to_ebitda,4.13,2024,USD
interest_coverage_ratio,3.83,2024,USD
gross_margin,0.26,2024,USD
ebitda_margin,0.15,2024,USD
net_margin,0.06,2024,USD
balance_sheet_check,True,2024,USD
