field,value,fiscal_year,currency
total_revenue,12478663.5,2024,USD
gross_profit,2816218.38,2024,USD
operating_expenses,925405.72,2024,USD
operating_income,1890812.66,2024,USD
ebitda,2181526.41,2024,USD
depreciation_amortization,290713.75,2024,USD
interest_expense,240065.84,2024,USD
income_before_tax,1650746.82,2024,USD
tax_expense,364155.06,2024,USD
net_income,1286591.76,2024,USD
total_assets,35297151.48,2024,USD
current_assets,14210433.84,2024,USD
cash_and_equivalents,4334103.6,2024,USD
accounts_receivable,6168808.87,2024,USD
inventory,3471755.84,2024,USD
total_liabilities,16323388.57,2024,USD
current_liabilities,5911762.42,2024,USD
long_term_debt,3838124.26,2024,USD
total_equity,18973762.92,2024,USD
operating_cash_flow,1125680.82,2024,USD
investing_cash_flow,-555474.22,2024,USD
financing_cash_flow,-316664.26,2024,USD
free_cash_flow,570206.6,2024,USD
debt_to_equity,0.86,2024,USD
current_ratio,2.4,2024,USD
debt_to_ebitda,7.48,2024,USD
interest_coverage_ratio,7.88,2024,USD
gross_margin,0.23,2024,USD
ebitda_margin,0.17,2024,USD
net_margin,0.1,2024,USD
balance_sheet_check,True,2024,USD
