field,value,fiscal_year,currency
total_revenue,2235496.95,2024,USD
gross_profit,523561.8,2024,USD
operating_expenses,418957.88,2024,USD
operating_income,104603.92,2024,USD
ebitda,162636.08,2024,USD
depreciation_amortization,58032.16,2024,USD
interest_expense,51397.3,2024,USD
income_before_tax,53206.63,2024,USD
tax_expense,13121.83,2024,USD
net_income,40084.8,2024,USD
total_assets,3043268.18,2024,USD
current_assets,1448167.12,2024,USD
cash_and_equivalents,302768.65,2024,USD
accounts_receivable,373454.99,2024,USD
inventory,577550.64,2024,USD
total_liabilities,1622917.36,2024,USD
current_liabilities,898622.59,2024,USD
long_term_debt,849264.74,2024,USD
total_equity,1420350.82,2024,USD
operating_cash_flow,60248.44,2024,USD
investing_cash_flow,-67493.36,2024,USD
financing_cash_flow,-99502.67,2024,USD
free_cash_flow,-7244.92,2024,USD
debt_to_equity,1.14,2024,USD
current_ratio,1.61,2024,USD
debt_to_ebitda,9.98,2024,USD
interest_coverage_ratio,2.04,2024,USD
gross_margin,0.23,2024,USD
ebitda_margin,0.07,2024,USD
net_margin,0.02,2024,USD
balance_sheet_check,True,2024,USD
