field,value,fiscal_year,currency
total_revenue,10373861.11,2024,USD
gross_profit,2593656.88,2024,USD
operating_expenses,1954230.85,2024,USD
operating_income,639426.03,2024,USD
ebitda,1110797.62,2024,USD
depreciation_amortization,471371.6,2024,USD
interest_expense,312146.11,2024,USD
income_before_tax,327279.91,2024,USD
tax_expense,68919.32,2024,USD
net_income,258360.59,2024,USD
total_assets,19144565.19,2024,USD
current_assets,10275642.01,2024,USD
cash_and_equivalents,2521780.39,2024,USD
accounts_receivable,2587679.17,2024,USD
inventory,3694944.91,2024,USD
total_liabilities,10457586.23,2024,USD
current_liabilities,5907633.1,2024,USD
long_term_debt,4539124.08,2024,USD
total_equity,8686978.96,2024,USD
operating_cash_flow,218526.97,2024,USD
investing_cash_flow,-582544.91,2024,USD
financing_cash_flow,-413848.22,2024,USD
free_cash_flow,-364017.94,2024,USD
debt_to_equity,1.2,2024,USD
current_ratio,1.74,2024,USD
debt_to_ebitda,9.41,2024,USD
interest_coverage_ratio,2.05,2024,USD
gross_margin,0.25,2024,USD
ebitda_margin,0.11,2024,USD
net_margin,0.02,2024,USD
balance_sheet_check,True,2024,USD
