field,value,fiscal_year,currency
total_revenue,2058540.39,2024,USD
gross_profit,1559637.26,2024,USD
operating_expenses,1247355.22,2024,USD
operating_income,312282.03,2024,USD
ebitda,408861.02,2024,USD
depreciation_amortization,96578.98,2024,USD
interest_expense,84847.08,2024,USD
income_before_tax,227434.95,2024,USD
tax_expense,51887.78,2024,USD
net_income,175547.16,2024,USD
total_assets,2620661.51,2024,USD
current_assets,1203972.15,2024,USD
cash_and_equivalents,364999.49,2024,USD
accounts_receivable,426519.13,2024,USD
inventory,335479.07,2024,USD
total_liabilities,703297.41,2024,USD
current_liabilities,703297.41,2024,USD
long_term_debt,1229900.02,2024,USD
total_equity,1917364.1,2024,USD
operating_cash_flow,228017.42,2024,USD
investing_cash_flow,-100909.77,2024,USD
financing_cash_flow,-100816.08,2024,USD
free_cash_flow,127107.65,2024,USD
debt_to_equity,0.37,2024,USD
current_ratio,1.71,2024,USD
debt_to_ebitda,1.72,2024,USD
interest_coverage_ratio,3.68,2024,USD
gross_margin,0.76,2024,USD
ebitda_margin,0.2,2024,USD
net_margin,0.09,2024,USD
balance_sheet_check,True,2024,USD
