field,value,fiscal_year,currency
total_revenue,15515575.69,2024,USD
gross_profit,4510725.38,2024,USD
operating_expenses,2955477.97,2024,USD
operating_income,1555247.41,2024,USD
ebitda,2094079.27,2024,USD
depreciation_amortization,538831.87,2024,USD
interest_expense,250409.16,2024,USD
income_before_tax,1304838.25,2024,USD
tax_expense,282019.89,2024,USD
net_income,1022818.36,2024,USD
total_assets,46371040.6,2024,USD
current_assets,21157841.68,2024,USD
cash_and_equivalents,5206218.69,2024,USD
accounts_receivable,5699867.1,2024,USD
inventory,6186693.67,2024,USD
total_liabilities,29928404.69,2024,USD
current_liabilities,9373132.95,2024,USD
long_term_debt,4992942.37,2024,USD
total_equity,16442635.91,2024,USD
operating_cash_flow,1520643.57,2024,USD
investing_cash_flow,-590920.39,2024,USD
financing_cash_flow,-641531.47,2024,USD
free_cash_flow,929723.18,2024,USD
debt_to_equity,1.82,2024,USD
current_ratio,2.26,2024,USD
debt_to_ebitda,14.29,2024,USD
interest_coverage_ratio,6.21,2024,USD
gross_margin,0.29,2024,USD
ebitda_margin,0.13,2024,USD
net_margin,0.07,2024,USD
balance_sheet_check,True,2024,USD
