field,value,fiscal_year,currency
total_revenue,13757719.5,2024,USD
gross_profit,4759720.72,2024,USD
operating_expenses,4030190.6,2024,USD
operating_income,729530.12,2024,USD
ebitda,1213171.89,2024,USD
depreciation_amortization,483641.77,2024,USD
interest_expense,458640.78,2024,USD
income_before_tax,270889.35,2024,USD
tax_expense,58630.26,2024,USD
net_income,212259.09,2024,USD
total_assets,24592714.76,2024,USD
current_assets,8689551.78,2024,USD
cash_and_equivalents,1880216.56,2024,USD
accounts_receivable,2799422.22,2024,USD
inventory,2442929.79,2024,USD
total_liabilities,11216731.77,2024,USD
current_liabilities,3577443.67,2024,USD
long_term_debt,6416222.0,2024,USD
total_equity,13375982.99,2024,USD
operating_cash_flow,1379151.97,2024,USD
investing_cash_flow,-1205976.76,2024,USD
financing_cash_flow,-950327.94,2024,USD
free_cash_flow,173175.2,2024,USD
debt_to_equity,0.84,2024,USD
current_ratio,2.43,2024,USD
debt_to_ebitda,9.25,2024,USD
interest_coverage_ratio,1.59,2024,USD
gross_margin,0.35,2024,USD
ebitda_margin,0.09,2024,USD
net_margin,0.02,2024,USD
balance_sheet_check,True,2024,USD
