field,value,fiscal_year,currency
total_revenue,16933149.96,2024,USD
gross_profit,4857620.99,2024,USD
operating_expenses,3885946.89,2024,USD
operating_income,971674.09,2024,USD
ebitda,1677900.55,2024,USD
depreciation_amortization,706226.46,2024,USD
interest_expense,690450.07,2024,USD
income_before_tax,281224.02,2024,USD
tax_expense,73482.16,2024,USD
net_income,207741.85,2024,USD
total_assets,31863801.43,2024,USD
current_assets,10674043.12,2024,USD
cash_and_equivalents,2767878.28,2024,USD
accounts_receivable,3061417.55,2024,USD
inventory,4576746.84,2024,USD
total_liabilities,18845761.84,2024,USD
current_liabilities,3832022.76,2024,USD
long_term_debt,10089408.05,2024,USD
total_equity,13018039.6,2024,USD
operating_cash_flow,954513.75,2024,USD
investing_cash_flow,-1502559.58,2024,USD
financing_cash_flow,-579465.39,2024,USD
free_cash_flow,-548045.84,2024,USD
debt_to_equity,1.45,2024,USD
current_ratio,2.79,2024,USD
debt_to_ebitda,11.23,2024,USD
interest_coverage_ratio,1.41,2024,USD
gross_margin,0.29,2024,USD
ebitda_margin,0.1,2024,USD
net_margin,0.01,2024,USD
balance_sheet_check,True,2024,USD
