field,value,fiscal_year,currency
total_revenue,12352904.44,2024,USD
gross_profit,4454903.95,2024,USD
operating_expenses,3695658.68,2024,USD
operating_income,759245.28,2024,USD
ebitda,1031219.18,2024,USD
depreciation_amortization,271973.91,2024,USD
interest_expense,488302.0,2024,USD
income_before_tax,270943.28,2024,USD
tax_expense,64159.32,2024,USD
net_income,206783.96,2024,USD
total_assets,33114351.5,2024,USD
current_assets,14943636.16,2024,USD
cash_and_equivalents,4271076.69,2024,USD
accounts_receivable,6571683.76,2024,USD
inventory,2813228.17,2024,USD
total_liabilities,18702467.67,2024,USD
current_liabilities,6112849.91,2024,USD
long_term_debt,7552641.74,2024,USD
total_equity,14411883.82,2024,USD
operating_cash_flow,515149.38,2024,USD
investing_cash_flow,-714768.49,2024,USD
financing_cash_flow,-868222.04,2024,USD
free_cash_flow,-199619.11,2024,USD
debt_to_equity,1.3,2024,USD
current_ratio,2.44,2024,USD
debt_to_ebitda,18.14,2024,USD
interest_coverage_ratio,1.55,2024,USD
gross_margin,0.36,2024,USD
ebitda_margin,0.08,2024,USD
net_margin,0.02,2024,USD
balance_sheet_check,True,2024,USD
