field,value,fiscal_year,currency
total_revenue,13074213.17,2024,USD
gross_profit,4212077.95,2024,USD
operating_expenses,3337185.08,2024,USD
operating_income,874892.86,2024,USD
ebitda,1157011.7,2024,USD
depreciation_amortization,282118.83,2024,USD
interest_expense,354550.67,2024,USD
income_before_tax,520342.2,2024,USD
tax_expense,133820.47,2024,USD
net_income,386521.73,2024,USD
total_assets,30417463.04,2024,USD
current_assets,14158862.84,2024,USD
cash_and_equivalents,3499112.92,2024,USD
accounts_receivable,4791484.31,2024,USD
inventory,3735640.6,2024,USD
total_liabilities,14380266.34,2024,USD
current_liabilities,5820908.23,2024,USD
long_term_debt,4745468.17,2024,USD
total_equity,16037196.7,2024,USD
operating_cash_flow,577008.16,2024,USD
investing_cash_flow,-651452.13,2024,USD
financing_cash_flow,-559246.9,2024,USD
free_cash_flow,-74443.97,2024,USD
debt_to_equity,0.9,2024,USD
current_ratio,2.43,2024,USD
debt_to_ebitda,12.43,2024,USD
interest_coverage_ratio,2.47,2024,USD
gross_margin,0.32,2024,USD
ebitda_margin,0.09,2024,USD
net_margin,0.03,2024,USD
balance_sheet_check,True,2024,USD
