field,value,fiscal_year,currency
total_revenue,1209362.97,2024,USD
gross_profit,237927.25,2024,USD
operating_expenses,165361.32,2024,USD
operating_income,72565.93,2024,USD
ebitda,124406.1,2024,USD
depreciation_amortization,51840.18,2024,USD
interest_expense,26534.19,2024,USD
income_before_tax,46031.74,2024,USD
tax_expense,11226.86,2024,USD
net_income,34804.88,2024,USD
total_assets,2636009.77,2024,USD
current_assets,1434389.35,2024,USD
cash_and_equivalents,365665.11,2024,USD
accounts_receivable,439783.4,2024,USD
inventory,346082.9,2024,USD
total_liabilities,1174333.48,2024,USD
current_liabilities,901464.71,2024,USD
long_term_debt,452374.24,2024,USD
total_equity,1461676.29,2024,USD
operating_cash_flow,47877.9,2024,USD
investing_cash_flow,-37478.62,2024,USD
financing_cash_flow,-46781.61,2024,USD
free_cash_flow,10399.28,2024,USD
debt_to_equity,0.8,2024,USD
current_ratio,1.59,2024,USD
debt_to_ebitda,9.44,2024,USD
interest_coverage_ratio,2.73,2024,USD
gross_margin,0.2,2024,USD
ebitda_margin,0.1,2024,USD
net_margin,0.03,2024,USD
balance_sheet_check,True,2024,USD
