field,value,fiscal_year,currency
total_revenue,5438120.04,2024,USD
gross_profit,3902564.08,2024,USD
operating_expenses,2664860.43,2024,USD
operating_income,1237703.65,2024,USD
ebitda,1382614.11,2024,USD
depreciation_amortization,144910.46,2024,USD
interest_expense,176472.69,2024,USD
income_before_tax,1061230.96,2024,USD
tax_expense,269898.34,2024,USD
net_income,791332.63,2024,USD
total_assets,6625603.66,2024,USD
current_assets,2308863.37,2024,USD
cash_and_equivalents,704770.49,2024,USD
accounts_receivable,739344.11,2024,USD
inventory,846685.62,2024,USD
total_liabilities,1501256.91,2024,USD
current_liabilities,1017943.54,2024,USD
long_term_debt,3326210.61,2024,USD
total_equity,5124346.75,2024,USD
operating_cash_flow,720243.43,2024,USD
investing_cash_flow,-260582.62,2024,USD
financing_cash_flow,-224019.96,2024,USD
free_cash_flow,459660.81,2024,USD
debt_to_equity,0.29,2024,USD
current_ratio,2.27,2024,USD
debt_to_ebitda,1.09,2024,USD
interest_coverage_ratio,7.01,2024,USD
gross_margin,0.72,2024,USD
ebitda_margin,0.25,2024,USD
net_margin,0.15,2024,USD
balance_sheet_check,True,2024,USD
