field,value,fiscal_year,currency
total_revenue,9226170.74,2024,USD
gross_profit,5599100.73,2024,USD
operating_expenses,4981702.47,2024,USD
operating_income,617398.26,2024,USD
ebitda,1072711.0,2024,USD
depreciation_amortization,455312.74,2024,USD
interest_expense,435637.27,2024,USD
income_before_tax,181760.99,2024,USD
tax_expense,39448.59,2024,USD
net_income,142312.4,2024,USD
total_assets,11223224.77,2024,USD
current_assets,4207211.21,2024,USD
cash_and_equivalents,655439.12,2024,USD
accounts_receivable,1324745.35,2024,USD
inventory,1176002.88,2024,USD
total_liabilities,3211383.88,2024,USD
current_liabilities,2289395.78,2024,USD
long_term_debt,5573971.47,2024,USD
total_equity,8011840.89,2024,USD
operating_cash_flow,361617.32,2024,USD
investing_cash_flow,-542901.31,2024,USD
financing_cash_flow,-658732.16,2024,USD
free_cash_flow,-181283.98,2024,USD
debt_to_equity,0.4,2024,USD
current_ratio,1.84,2024,USD
debt_to_ebitda,2.99,2024,USD
interest_coverage_ratio,1.42,2024,USD
gross_margin,0.61,2024,USD
ebitda_margin,0.12,2024,USD
net_margin,0.02,2024,USD
balance_sheet_check,True,2024,USD
