field,value,fiscal_year,currency
total_revenue,2040132.84,2024,USD
gross_profit,532112.92,2024,USD
operating_expenses,507424.14,2024,USD
operating_income,24688.78,2024,USD
ebitda,114919.59,2024,USD
depreciation_amortization,90230.81,2024,USD
interest_expense,67264.95,2024,USD
income_before_tax,-42576.17,2024,USD
tax_expense,0,2024,USD
net_income,-42576.17,2024,USD
total_assets,4822124.77,2024,USD
current_assets,1705851.7,2024,USD
cash_and_equivalents,548115.15,2024,USD
accounts_receivable,477066.61,2024,USD
inventory,582366.71,2024,USD
total_liabilities,2831425.24,2024,USD
current_liabilities,619723.79,2024,USD
long_term_debt,860295.44,2024,USD
total_equity,1990699.53,2024,USD
operating_cash_flow,-44365.43,2024,USD
investing_cash_flow,-103881.22,2024,USD
financing_cash_flow,-113566.71,2024,USD
free_cash_flow,-148246.64,2024,USD
debt_to_equity,1.42,2024,USD
current_ratio,2.75,2024,USD
debt_to_ebitda,24.64,2024,USD
interest_coverage_ratio,0.37,2024,USD
gross_margin,0.26,2024,USD
ebitda_margin,0.06,2024,USD
net_margin,-0.02,2024,USD
balance_sheet_check,True,2024,USD
