field,value,fiscal_year,currency
total_revenue,4558890.52,2024,USD
gross_profit,1013471.56,2024,USD
operating_expenses,701322.7,2024,USD
operating_income,312148.87,2024,USD
ebitda,422443.52,2024,USD
depreciation_amortization,110294.65,2024,USD
interest_expense,192320.18,2024,USD
income_before_tax,119828.69,2024,USD
tax_expense,29296.16,2024,USD
net_income,90532.52,2024,USD
total_assets,7648694.98,2024,USD
current_assets,3991202.45,2024,USD
cash_and_equivalents,706972.9,2024,USD
accounts_receivable,1359917.43,2024,USD
inventory,1607268.44,2024,USD
total_liabilities,4506571.44,2024,USD
current_liabilities,1652870.18,2024,USD
long_term_debt,3093228.25,2024,USD
total_equity,3142123.54,2024,USD
operating_cash_flow,163957.95,2024,USD
investing_cash_flow,-373641.34,2024,USD
financing_cash_flow,-202458.87,2024,USD
free_cash_flow,-209683.39,2024,USD
debt_to_equity,1.43,2024,USD
current_ratio,2.41,2024,USD
debt_to_ebitda,10.67,2024,USD
interest_coverage_ratio,1.62,2024,USD
gross_margin,0.22,2024,USD
ebitda_margin,0.09,2024,USD
net_margin,0.02,2024,USD
balance_sheet_check,True,2024,USD
