field,value,fiscal_year,currency
total_revenue,11579846.89,2024,USD
gross_profit,4644056.27,2024,USD
operating_expenses,3980413.04,2024,USD
operating_income,663643.23,2024,USD
ebitda,926922.34,2024,USD
depreciation_amortization,263279.12,2024,USD
interest_expense,229162.33,2024,USD
income_before_tax,434480.89,2024,USD
tax_expense,93611.39,2024,USD
net_income,340869.5,2024,USD
total_assets,18708118.64,2024,USD
current_assets,8041891.78,2024,USD
cash_and_equivalents,1922119.7,2024,USD
accounts_receivable,2023440.61,2024,USD
inventory,2751862.54,2024,USD
total_liabilities,12573128.98,2024,USD
current_liabilities,5430442.56,2024,USD
long_term_debt,3914839.03,2024,USD
total_equity,6134989.67,2024,USD
operating_cash_flow,828833.55,2024,USD
investing_cash_flow,-734614.1,2024,USD
financing_cash_flow,-285370.97,2024,USD
free_cash_flow,94219.45,2024,USD
debt_to_equity,2.05,2024,USD
current_ratio,1.48,2024,USD
debt_to_ebitda,13.56,2024,USD
interest_coverage_ratio,2.9,2024,USD
gross_margin,0.4,2024,USD
ebitda_margin,0.08,2024,USD
net_margin,0.03,2024,USD
balance_sheet_check,True,2024,USD
