field,value,fiscal_year,currency
total_revenue,14561805.64,2024,USD
gross_profit,2634575.41,2024,USD
operating_expenses,1216753.87,2024,USD
operating_income,1417821.54,2024,USD
ebitda,1901229.24,2024,USD
depreciation_amortization,483407.69,2024,USD
interest_expense,402892.35,2024,USD
income_before_tax,1014929.2,2024,USD
tax_expense,233085.25,2024,USD
net_income,781843.94,2024,USD
total_assets,25049106.33,2024,USD
current_assets,8500147.16,2024,USD
cash_and_equivalents,2298474.26,2024,USD
accounts_receivable,3513884.46,2024,USD
inventory,2232355.64,2024,USD
total_liabilities,11674009.58,2024,USD
current_liabilities,4422736.03,2024,USD
long_term_debt,5708174.03,2024,USD
total_equity,13375096.74,2024,USD
operating_cash_flow,702202.96,2024,USD
investing_cash_flow,-1125133.35,2024,USD
financing_cash_flow,-558842.32,2024,USD
free_cash_flow,-422930.39,2024,USD
debt_to_equity,0.87,2024,USD
current_ratio,1.92,2024,USD
debt_to_ebitda,6.14,2024,USD
interest_coverage_ratio,3.52,2024,USD
gross_margin,0.18,2024,USD
ebitda_margin,0.13,2024,USD
net_margin,0.05,2024,USD
balance_sheet_check,True,2024,USD
