field,value,fiscal_year,currency
total_revenue,17634228.65,2024,USD
gross_profit,2895530.74,2024,USD
operating_expenses,1578537.66,2024,USD
operating_income,1316993.08,2024,USD
ebitda,1796264.29,2024,USD
depreciation_amortization,479271.21,2024,USD
interest_expense,486929.58,2024,USD
income_before_tax,830063.5,2024,USD
tax_expense,187425.86,2024,USD
net_income,642637.64,2024,USD
total_assets,34494671.16,2024,USD
current_assets,11212475.26,2024,USD
cash_and_equivalents,2422553.11,2024,USD
accounts_receivable,3862482.24,2024,USD
inventory,4141986.25,2024,USD
total_liabilities,24566902.27,2024,USD
current_liabilities,7444211.36,2024,USD
long_term_debt,5648352.28,2024,USD
total_equity,9927768.88,2024,USD
operating_cash_flow,1964667.53,2024,USD
investing_cash_flow,-723988.69,2024,USD
financing_cash_flow,-651194.47,2024,USD
free_cash_flow,1240678.84,2024,USD
debt_to_equity,2.47,2024,USD
current_ratio,1.51,2024,USD
debt_to_ebitda,13.68,2024,USD
interest_coverage_ratio,2.7,2024,USD
gross_margin,0.16,2024,USD
ebitda_margin,0.1,2024,USD
net_margin,0.04,2024,USD
balance_sheet_check,True,2024,USD
