field,value,fiscal_year,currency
total_revenue,5061959.74,2024,USD
gross_profit,1981880.45,2024,USD
operating_expenses,1558462.88,2024,USD
operating_income,423417.57,2024,USD
ebitda,604241.18,2024,USD
depreciation_amortization,180823.61,2024,USD
interest_expense,177742.59,2024,USD
income_before_tax,245674.98,2024,USD
tax_expense,67377.73,2024,USD
net_income,178297.25,2024,USD
total_assets,7447112.61,2024,USD
current_assets,3676015.4,2024,USD
cash_and_equivalents,1050530.01,2024,USD
accounts_receivable,957503.14,2024,USD
inventory,1360144.93,2024,USD
total_liabilities,4214605.14,2024,USD
current_liabilities,2039993.56,2024,USD
long_term_debt,2753312.09,2024,USD
total_equity,3232507.47,2024,USD
operating_cash_flow,388461.6,2024,USD
investing_cash_flow,-288832.86,2024,USD
financing_cash_flow,-207047.91,2024,USD
free_cash_flow,99628.74,2024,USD
debt_to_equity,1.3,2024,USD
current_ratio,1.8,2024,USD
debt_to_ebitda,6.98,2024,USD
interest_coverage_ratio,2.38,2024,USD
gross_margin,0.39,2024,USD
ebitda_margin,0.12,2024,USD
net_margin,0.04,2024,USD
balance_sheet_check,True,2024,USD
