field,value,fiscal_year,currency
total_revenue,5627344.83,2024,USD
gross_profit,1501316.47,2024,USD
operating_expenses,1310001.64,2024,USD
operating_income,191314.83,2024,USD
ebitda,450203.87,2024,USD
depreciation_amortization,258889.04,2024,USD
interest_expense,126687.87,2024,USD
income_before_tax,64626.96,2024,USD
tax_expense,15052.57,2024,USD
net_income,49574.39,2024,USD
total_assets,8543938.72,2024,USD
current_assets,3284077.62,2024,USD
cash_and_equivalents,1070372.84,2024,USD
accounts_receivable,1003782.67,2024,USD
inventory,1180402.5,2024,USD
total_liabilities,5698654.9,2024,USD
current_liabilities,1699527.68,2024,USD
long_term_debt,2097264.21,2024,USD
total_equity,2845283.82,2024,USD
operating_cash_flow,291754.06,2024,USD
investing_cash_flow,-463871.59,2024,USD
financing_cash_flow,-115786.94,2024,USD
free_cash_flow,-172117.53,2024,USD
debt_to_equity,2.0,2024,USD
current_ratio,1.93,2024,USD
debt_to_ebitda,12.66,2024,USD
interest_coverage_ratio,1.51,2024,USD
gross_margin,0.27,2024,USD
ebitda_margin,0.08,2024,USD
net_margin,0.01,2024,USD
balance_sheet_check,True,2024,USD
