field,value,fiscal_year,currency
total_revenue,4642102.67,2024,USD
gross_profit,1502655.89,2024,USD
operating_expenses,1006644.3,2024,USD
operating_income,496011.59,2024,USD
ebitda,588877.28,2024,USD
depreciation_amortization,92865.69,2024,USD
interest_expense,115806.82,2024,USD
income_before_tax,380204.78,2024,USD
tax_expense,96319.04,2024,USD
net_income,283885.74,2024,USD
total_assets,6701703.19,2024,USD
current_assets,2862193.12,2024,USD
cash_and_equivalents,547738.61,2024,USD
accounts_receivable,1099926.15,2024,USD
inventory,1184380.81,2024,USD
total_liabilities,2101445.05,2024,USD
current_liabilities,1551312.65,2024,USD
long_term_debt,1561409.38,2024,USD
total_equity,4600258.14,2024,USD
operating_cash_flow,248127.17,2024,USD
investing_cash_flow,-286938.57,2024,USD
financing_cash_flow,-165532.95,2024,USD
free_cash_flow,-38811.4,2024,USD
debt_to_equity,0.46,2024,USD
current_ratio,1.85,2024,USD
debt_to_ebitda,3.57,2024,USD
interest_coverage_ratio,4.28,2024,USD
gross_margin,0.32,2024,USD
ebitda_margin,0.13,2024,USD
net_margin,0.06,2024,USD
balance_sheet_check,True,2024,USD
