field,value,fiscal_year,currency
total_revenue,2738914.25,2024,USD
gross_profit,964977.84,2024,USD
operating_expenses,608971.66,2024,USD
operating_income,356006.18,2024,USD
ebitda,434024.61,2024,USD
depreciation_amortization,78018.44,2024,USD
interest_expense,84408.16,2024,USD
income_before_tax,271598.02,2024,USD
tax_expense,76026.58,2024,USD
net_income,195571.44,2024,USD
total_assets,4359563.45,2024,USD
current_assets,1469821.82,2024,USD
cash_and_equivalents,378796.77,2024,USD
accounts_receivable,468909.6,2024,USD
inventory,482735.91,2024,USD
total_liabilities,1804144.97,2024,USD
current_liabilities,694903.54,2024,USD
long_term_debt,1148761.83,2024,USD
total_equity,2555418.48,2024,USD
operating_cash_flow,224776.22,2024,USD
investing_cash_flow,-118336.61,2024,USD
financing_cash_flow,-137564.05,2024,USD
free_cash_flow,106439.61,2024,USD
debt_to_equity,0.71,2024,USD
current_ratio,2.12,2024,USD
debt_to_ebitda,4.16,2024,USD
interest_coverage_ratio,4.22,2024,USD
gross_margin,0.35,2024,USD
ebitda_margin,0.16,2024,USD
net_margin,0.07,2024,USD
balance_sheet_check,True,2024,USD
