field,value,fiscal_year,currency
total_revenue,11092109.19,2024,USD
gross_profit,2384201.51,2024,USD
operating_expenses,1766077.21,2024,USD
operating_income,618124.3,2024,USD
ebitda,1015760.83,2024,USD
depreciation_amortization,397636.53,2024,USD
interest_expense,685874.83,2024,USD
income_before_tax,-67750.53,2024,USD
tax_expense,0,2024,USD
net_income,-67750.53,2024,USD
total_assets,30251696.22,2024,USD
current_assets,10073685.37,2024,USD
cash_and_equivalents,3245366.69,2024,USD
accounts_receivable,3663558.38,2024,USD
inventory,2160601.57,2024,USD
total_liabilities,20202073.85,2024,USD
current_liabilities,4333861.95,2024,USD
long_term_debt,7665521.28,2024,USD
total_equity,10049622.37,2024,USD
operating_cash_flow,833970.21,2024,USD
investing_cash_flow,-930912.96,2024,USD
financing_cash_flow,-396069.36,2024,USD
free_cash_flow,-96942.74,2024,USD
debt_to_equity,2.01,2024,USD
current_ratio,2.32,2024,USD
debt_to_ebitda,19.89,2024,USD
interest_coverage_ratio,0.9,2024,USD
gross_margin,0.21,2024,USD
ebitda_margin,0.09,2024,USD
net_margin,-0.01,2024,USD
balance_sheet_check,True,2024,USD
