field,value,fiscal_year,currency
total_revenue,953236.89,2024,USD
gross_profit,428534.72,2024,USD
operating_expenses,369111.73,2024,USD
operating_income,59422.99,2024,USD
ebitda,99434.06,2024,USD
depreciation_amortization,40011.07,2024,USD
interest_expense,40458.82,2024,USD
income_before_tax,18964.17,2024,USD
tax_expense,4182.35,2024,USD
net_income,14781.82,2024,USD
total_assets,1766041.28,2024,USD
current_assets,540369.01,2024,USD
cash_and_equivalents,139582.2,2024,USD
accounts_receivable,203820.9,2024,USD
inventory,166777.02,2024,USD
total_liabilities,1001351.54,2024,USD
current_liabilities,411117.01,2024,USD
long_term_debt,494371.24,2024,USD
total_equity,764689.74,2024,USD
operating_cash_flow,79474.97,2024,USD
investing_cash_flow,-53704.64,2024,USD
financing_cash_flow,-61207.25,2024,USD
free_cash_flow,25770.33,2024,USD
debt_to_equity,1.31,2024,USD
current_ratio,1.31,2024,USD
debt_to_ebitda,10.07,2024,USD
interest_coverage_ratio,1.47,2024,USD
gross_margin,0.45,2024,USD
ebitda_margin,0.1,2024,USD
net_margin,0.02,2024,USD
balance_sheet_check,True,2024,USD
