field,value,fiscal_year,currency
total_revenue,6870565.71,2024,USD
gross_profit,1244826.09,2024,USD
operating_expenses,805498.21,2024,USD
operating_income,439327.87,2024,USD
ebitda,609003.22,2024,USD
depreciation_amortization,169675.34,2024,USD
interest_expense,246988.1,2024,USD
income_before_tax,192339.77,2024,USD
tax_expense,46718.15,2024,USD
net_income,145621.62,2024,USD
total_assets,11926641.41,2024,USD
current_assets,4437023.35,2024,USD
cash_and_equivalents,916439.11,2024,USD
accounts_receivable,1872074.86,2024,USD
inventory,882924.94,2024,USD
total_liabilities,6657475.3,2024,USD
current_liabilities,2688883.9,2024,USD
long_term_debt,3183868.44,2024,USD
total_equity,5269166.11,2024,USD
operating_cash_flow,515400.64,2024,USD
investing_cash_flow,-489770.14,2024,USD
financing_cash_flow,-415146.42,2024,USD
free_cash_flow,25630.5,2024,USD
debt_to_equity,1.26,2024,USD
current_ratio,1.65,2024,USD
debt_to_ebitda,10.93,2024,USD
interest_coverage_ratio,1.78,2024,USD
gross_margin,0.18,2024,USD
ebitda_margin,0.09,2024,USD
net_margin,0.02,2024,USD
balance_sheet_check,True,2024,USD
