field,value,fiscal_year,currency
total_revenue,8462091.04,2024,USD
gross_profit,1604597.28,2024,USD
operating_expenses,1463408.43,2024,USD
operating_income,141188.85,2024,USD
ebitda,447498.71,2024,USD
depreciation_amortization,306309.86,2024,USD
interest_expense,213437.69,2024,USD
income_before_tax,-72248.84,2024,USD
tax_expense,0,2024,USD
net_income,-72248.84,2024,USD
total_assets,16440801.14,2024,USD
current_assets,5139886.9,2024,USD
cash_and_equivalents,1523029.26,2024,USD
accounts_receivable,1688846.26,2024,USD
inventory,1393582.28,2024,USD
total_liabilities,10045994.63,2024,USD
current_liabilities,2344092.17,2024,USD
long_term_debt,3044931.21,2024,USD
total_equity,6394806.51,2024,USD
operating_cash_flow,-1112.66,2024,USD
investing_cash_flow,-425514.66,2024,USD
financing_cash_flow,-272315.02,2024,USD
free_cash_flow,-426627.31,2024,USD
debt_to_equity,1.57,2024,USD
current_ratio,2.19,2024,USD
debt_to_ebitda,22.45,2024,USD
interest_coverage_ratio,0.66,2024,USD
gross_margin,0.19,2024,USD
ebitda_margin,0.05,2024,USD
net_margin,-0.01,2024,USD
balance_sheet_check,True,2024,USD
