field,value,fiscal_year,currency
total_revenue,6293130.44,2024,USD
gross_profit,3511153.2,2024,USD
operating_expenses,3058531.94,2024,USD
operating_income,452621.26,2024,USD
ebitda,720186.84,2024,USD
depreciation_amortization,267565.58,2024,USD
interest_expense,136829.81,2024,USD
income_before_tax,315791.45,2024,USD
tax_expense,74990.85,2024,USD
net_income,240800.6,2024,USD
total_assets,9315307.94,2024,USD
current_assets,3217516.07,2024,USD
cash_and_equivalents,1059012.58,2024,USD
accounts_receivable,965305.96,2024,USD
inventory,824247.38,2024,USD
total_liabilities,3678798.62,2024,USD
current_liabilities,2439502.16,2024,USD
long_term_debt,2255679.03,2024,USD
total_equity,5636509.32,2024,USD
operating_cash_flow,643468.69,2024,USD
investing_cash_flow,-358304.75,2024,USD
financing_cash_flow,-332706.39,2024,USD
free_cash_flow,285163.94,2024,USD
debt_to_equity,0.65,2024,USD
current_ratio,1.32,2024,USD
debt_to_ebitda,5.11,2024,USD
interest_coverage_ratio,3.31,2024,USD
gross_margin,0.56,2024,USD
ebitda_margin,0.11,2024,USD
net_margin,0.04,2024,USD
balance_sheet_check,True,2024,USD
