field,value,fiscal_year,currency
total_revenue,973508.69,2024,USD
gross_profit,351871.01,2024,USD
operating_expenses,271018.34,2024,USD
operating_income,80852.67,2024,USD
ebitda,112355.19,2024,USD
depreciation_amortization,31502.51,2024,USD
interest_expense,26560.05,2024,USD
income_before_tax,54292.62,2024,USD
tax_expense,12464.73,2024,USD
net_income,41827.89,2024,USD
total_assets,1633943.63,2024,USD
current_assets,571658.79,2024,USD
cash_and_equivalents,186892.7,2024,USD
accounts_receivable,203031.94,2024,USD
inventory,148181.88,2024,USD
total_liabilities,831627.06,2024,USD
current_liabilities,228366.45,2024,USD
long_term_debt,506492.69,2024,USD
total_equity,802316.57,2024,USD
operating_cash_flow,120974.27,2024,USD
investing_cash_flow,-82489.39,2024,USD
financing_cash_flow,-43513.4,2024,USD
free_cash_flow,38484.88,2024,USD
debt_to_equity,1.04,2024,USD
current_ratio,2.5,2024,USD
debt_to_ebitda,7.4,2024,USD
interest_coverage_ratio,3.04,2024,USD
gross_margin,0.36,2024,USD
ebitda_margin,0.12,2024,USD
net_margin,0.04,2024,USD
balance_sheet_check,True,2024,USD
