field,value,fiscal_year,currency
total_revenue,5080903.89,2024,USD
gross_profit,1386363.01,2024,USD
operating_expenses,1157726.24,2024,USD
operating_income,228636.77,2024,USD
ebitda,428830.36,2024,USD
depreciation_amortization,200193.59,2024,USD
interest_expense,285090.02,2024,USD
income_before_tax,-56453.25,2024,USD
tax_expense,0,2024,USD
net_income,-56453.25,2024,USD
total_assets,6472925.21,2024,USD
current_assets,3114423.22,2024,USD
cash_and_equivalents,585811.56,2024,USD
accounts_receivable,945826.41,2024,USD
inventory,1324531.62,2024,USD
total_liabilities,3355597.53,2024,USD
current_liabilities,1412832.13,2024,USD
long_term_debt,3398568.05,2024,USD
total_equity,3117327.67,2024,USD
operating_cash_flow,-14700.89,2024,USD
investing_cash_flow,-423334.56,2024,USD
financing_cash_flow,-416088.47,2024,USD
free_cash_flow,-438035.45,2024,USD
debt_to_equity,1.08,2024,USD
current_ratio,2.2,2024,USD
debt_to_ebitda,7.82,2024,USD
interest_coverage_ratio,0.8,2024,USD
gross_margin,0.27,2024,USD
ebitda_margin,0.08,2024,USD
net_margin,-0.01,2024,USD
balance_sheet_check,True,2024,USD
