field,value,fiscal_year,currency
total_revenue,4389535.26,2024,USD
gross_profit,3147146.66,2024,USD
operating_expenses,2480482.79,2024,USD
operating_income,666663.87,2024,USD
ebitda,877153.86,2024,USD
depreciation_amortization,210489.98,2024,USD
interest_expense,127580.29,2024,USD
income_before_tax,539083.58,2024,USD
tax_expense,123187.4,2024,USD
net_income,415896.18,2024,USD
total_assets,7562286.49,2024,USD
current_assets,3672277.86,2024,USD
cash_and_equivalents,665011.26,2024,USD
accounts_receivable,1125006.93,2024,USD
inventory,1139359.69,2024,USD
total_liabilities,2552267.35,2024,USD
current_liabilities,2024051.43,2024,USD
long_term_debt,1498739.22,2024,USD
total_equity,5010019.14,2024,USD
operating_cash_flow,781298.49,2024,USD
investing_cash_flow,-286981.82,2024,USD
financing_cash_flow,-112573.49,2024,USD
free_cash_flow,494316.67,2024,USD
debt_to_equity,0.51,2024,USD
current_ratio,1.81,2024,USD
debt_to_ebitda,2.91,2024,USD
interest_coverage_ratio,5.23,2024,USD
gross_margin,0.72,2024,USD
ebitda_margin,0.2,2024,USD
net_margin,0.09,2024,USD
balance_sheet_check,True,2024,USD
