field,value,fiscal_year,currency
total_revenue,16200804.85,2024,USD
gross_profit,2593989.65,2024,USD
operating_expenses,1869957.08,2024,USD
operating_income,724032.57,2024,USD
ebitda,1203342.46,2024,USD
depreciation_amortization,479309.89,2024,USD
interest_expense,795198.15,2024,USD
income_before_tax,-71165.58,2024,USD
tax_expense,0,2024,USD
net_income,-71165.58,2024,USD
total_assets,42184109.06,2024,USD
current_assets,19721330.12,2024,USD
cash_and_equivalents,5834697.3,2024,USD
accounts_receivable,6254617.74,2024,USD
inventory,3859493.31,2024,USD
total_liabilities,27525077.88,2024,USD
current_liabilities,12214931.75,2024,USD
long_term_debt,8982936.54,2024,USD
total_equity,14659031.19,2024,USD
operating_cash_flow,165911.76,2024,USD
investing_cash_flow,-1378549.17,2024,USD
financing_cash_flow,-1096289.78,2024,USD
free_cash_flow,-1212637.41,2024,USD
debt_to_equity,1.88,2024,USD
current_ratio,1.61,2024,USD
debt_to_ebitda,22.87,2024,USD
interest_coverage_ratio,0.91,2024,USD
gross_margin,0.16,2024,USD
ebitda_margin,0.07,2024,USD
net_margin,-0.0,2024,USD
balance_sheet_check,True,2024,USD
