field,value,fiscal_year,currency
total_revenue,4927564.49,2024,USD
gross_profit,3392127.94,2024,USD
operating_expenses,2991051.97,2024,USD
operating_income,401075.97,2024,USD
ebitda,619962.26,2024,USD
depreciation_amortization,218886.29,2024,USD
interest_expense,142354.01,2024,USD
income_before_tax,258721.96,2024,USD
tax_expense,67724.22,2024,USD
net_income,190997.74,2024,USD
total_assets,6991745.36,2024,USD
current_assets,3395213.81,2024,USD
cash_and_equivalents,890408.78,2024,USD
accounts_receivable,1010140.94,2024,USD
inventory,1333469.93,2024,USD
total_liabilities,1760346.39,2024,USD
current_liabilities,1359046.3,2024,USD
long_term_debt,1680260.08,2024,USD
total_equity,5231398.96,2024,USD
operating_cash_flow,490939.3,2024,USD
investing_cash_flow,-467398.89,2024,USD
financing_cash_flow,-149132.26,2024,USD
free_cash_flow,23540.41,2024,USD
debt_to_equity,0.34,2024,USD
current_ratio,2.5,2024,USD
debt_to_ebitda,2.84,2024,USD
interest_coverage_ratio,2.82,2024,USD
gross_margin,0.69,2024,USD
ebitda_margin,0.13,2024,USD
net_margin,0.04,2024,USD
balance_sheet_check,True,2024,USD
