field,value,fiscal_year,currency
total_revenue,11170985.01,2024,USD
gross_profit,5673031.3,2024,USD
operating_expenses,4240236.0,2024,USD
operating_income,1432795.3,2024,USD
ebitda,1927349.46,2024,USD
depreciation_amortization,494554.16,2024,USD
interest_expense,276170.18,2024,USD
income_before_tax,1156625.12,2024,USD
tax_expense,276155.93,2024,USD
net_income,880469.18,2024,USD
total_assets,26578809.61,2024,USD
current_assets,9551960.38,2024,USD
cash_and_equivalents,2281387.75,2024,USD
accounts_receivable,2932314.16,2024,USD
inventory,3792801.68,2024,USD
total_liabilities,12141259.5,2024,USD
current_liabilities,4840376.7,2024,USD
long_term_debt,4090989.72,2024,USD
total_equity,14437550.11,2024,USD
operating_cash_flow,1162180.21,2024,USD
investing_cash_flow,-967448.31,2024,USD
financing_cash_flow,-396423.29,2024,USD
free_cash_flow,194731.9,2024,USD
debt_to_equity,0.84,2024,USD
current_ratio,1.97,2024,USD
debt_to_ebitda,6.3,2024,USD
interest_coverage_ratio,5.19,2024,USD
gross_margin,0.51,2024,USD
ebitda_margin,0.17,2024,USD
net_margin,0.08,2024,USD
balance_sheet_check,True,2024,USD
