field,value,fiscal_year,currency
total_revenue,7174763.29,2024,USD
gross_profit,2362446.5,2024,USD
operating_expenses,1816206.24,2024,USD
operating_income,546240.27,2024,USD
ebitda,826763.01,2024,USD
depreciation_amortization,280522.74,2024,USD
interest_expense,303378.29,2024,USD
income_before_tax,242861.97,2024,USD
tax_expense,63257.04,2024,USD
net_income,179604.93,2024,USD
total_assets,20024892.4,2024,USD
current_assets,10204370.36,2024,USD
cash_and_equivalents,2812830.82,2024,USD
accounts_receivable,4394825.79,2024,USD
inventory,2466805.77,2024,USD
total_liabilities,10776688.97,2024,USD
current_liabilities,5786760.95,2024,USD
long_term_debt,3934327.84,2024,USD
total_equity,9248203.43,2024,USD
operating_cash_flow,517220.0,2024,USD
investing_cash_flow,-583058.46,2024,USD
financing_cash_flow,-232177.82,2024,USD
free_cash_flow,-65838.46,2024,USD
debt_to_equity,1.17,2024,USD
current_ratio,1.76,2024,USD
debt_to_ebitda,13.03,2024,USD
interest_coverage_ratio,1.8,2024,USD
gross_margin,0.33,2024,USD
ebitda_margin,0.12,2024,USD
net_margin,0.03,2024,USD
balance_sheet_check,True,2024,USD
