field,value,fiscal_year,currency
total_revenue,5309810.46,2024,USD
gross_profit,2873320.51,2024,USD
operating_expenses,1596033.58,2024,USD
operating_income,1277286.93,2024,USD
ebitda,1453865.83,2024,USD
depreciation_amortization,176578.9,2024,USD
interest_expense,239007.18,2024,USD
income_before_tax,1038279.75,2024,USD
tax_expense,253566.56,2024,USD
net_income,784713.19,2024,USD
total_assets,7642588.66,2024,USD
current_assets,3143936.84,2024,USD
cash_and_equivalents,506573.62,2024,USD
accounts_receivable,868949.14,2024,USD
inventory,1251528.37,2024,USD
total_liabilities,2297236.02,2024,USD
current_liabilities,1465112.78,2024,USD
long_term_debt,3037838.65,2024,USD
total_equity,5345352.65,2024,USD
operating_cash_flow,1053028.47,2024,USD
investing_cash_flow,-273836.85,2024,USD
financing_cash_flow,-158505.45,2024,USD
free_cash_flow,779191.62,2024,USD
debt_to_equity,0.43,2024,USD
current_ratio,2.15,2024,USD
debt_to_ebitda,1.58,2024,USD
interest_coverage_ratio,5.34,2024,USD
gross_margin,0.54,2024,USD
ebitda_margin,0.27,2024,USD
net_margin,0.15,2024,USD
balance_sheet_check,True,2024,USD
