field,value,fiscal_year,currency
total_revenue,11113821.1,2024,USD
gross_profit,5568236.82,2024,USD
operating_expenses,4573517.39,2024,USD
operating_income,994719.43,2024,USD
ebitda,1328601.81,2024,USD
depreciation_amortization,333882.38,2024,USD
interest_expense,587233.64,2024,USD
income_before_tax,407485.8,2024,USD
tax_expense,113360.83,2024,USD
net_income,294124.97,2024,USD
total_assets,18637453.58,2024,USD
current_assets,7085331.56,2024,USD
cash_and_equivalents,2405156.78,2024,USD
accounts_receivable,2055952.77,2024,USD
inventory,1724354.35,2024,USD
total_liabilities,10134023.03,2024,USD
current_liabilities,2579427.63,2024,USD
long_term_debt,6959365.72,2024,USD
total_equity,8503430.56,2024,USD
operating_cash_flow,396226.55,2024,USD
investing_cash_flow,-874069.17,2024,USD
financing_cash_flow,-689678.23,2024,USD
free_cash_flow,-477842.62,2024,USD
debt_to_equity,1.19,2024,USD
current_ratio,2.75,2024,USD
debt_to_ebitda,7.63,2024,USD
interest_coverage_ratio,1.69,2024,USD
gross_margin,0.5,2024,USD
ebitda_margin,0.12,2024,USD
net_margin,0.03,2024,USD
balance_sheet_check,True,2024,USD
