field,value,fiscal_year,currency
total_revenue,5144236.06,2024,USD
gross_profit,1848376.16,2024,USD
operating_expenses,1632183.36,2024,USD
operating_income,216192.8,2024,USD
ebitda,319713.94,2024,USD
depreciation_amortization,103521.14,2024,USD
interest_expense,180269.88,2024,USD
income_before_tax,35922.91,2024,USD
tax_expense,9749.08,2024,USD
net_income,26173.83,2024,USD
total_assets,7457464.29,2024,USD
current_assets,2428725.01,2024,USD
cash_and_equivalents,608801.93,2024,USD
accounts_receivable,755875.13,2024,USD
inventory,566758.24,2024,USD
total_liabilities,4005522.22,2024,USD
current_liabilities,1774634.58,2024,USD
long_term_debt,3052802.12,2024,USD
total_equity,3451942.06,2024,USD
operating_cash_flow,107022.43,2024,USD
investing_cash_flow,-341681.13,2024,USD
financing_cash_flow,-312642.85,2024,USD
free_cash_flow,-234658.7,2024,USD
debt_to_equity,1.16,2024,USD
current_ratio,1.37,2024,USD
debt_to_ebitda,12.53,2024,USD
interest_coverage_ratio,1.2,2024,USD
gross_margin,0.36,2024,USD
ebitda_margin,0.06,2024,USD
net_margin,0.01,2024,USD
balance_sheet_check,True,2024,USD
