field,value,fiscal_year,currency
total_revenue,549024.54,2024,USD
gross_profit,298285.12,2024,USD
operating_expenses,167923.33,2024,USD
operating_income,130361.8,2024,USD
ebitda,145027.94,2024,USD
depreciation_amortization,14666.15,2024,USD
interest_expense,26167.43,2024,USD
income_before_tax,104194.36,2024,USD
tax_expense,27079.26,2024,USD
net_income,77115.1,2024,USD
total_assets,727798.42,2024,USD
current_assets,268444.55,2024,USD
cash_and_equivalents,88344.19,2024,USD
accounts_receivable,112831.87,2024,USD
inventory,49072.3,2024,USD
total_liabilities,185141.81,2024,USD
current_liabilities,164961.78,2024,USD
long_term_debt,298305.65,2024,USD
total_equity,542656.61,2024,USD
operating_cash_flow,92914.32,2024,USD
investing_cash_flow,-40436.99,2024,USD
financing_cash_flow,-32350.86,2024,USD
free_cash_flow,52477.33,2024,USD
debt_to_equity,0.34,2024,USD
current_ratio,1.63,2024,USD
debt_to_ebitda,1.28,2024,USD
interest_coverage_ratio,4.98,2024,USD
gross_margin,0.54,2024,USD
ebitda_margin,0.26,2024,USD
net_margin,0.14,2024,USD
balance_sheet_check,True,2024,USD
