field,value,fiscal_year,currency
total_revenue,6378699.34,2024,USD
gross_profit,2485422.3,2024,USD
operating_expenses,2080638.28,2024,USD
operating_income,404784.02,2024,USD
ebitda,611969.48,2024,USD
depreciation_amortization,207185.46,2024,USD
interest_expense,280823.48,2024,USD
income_before_tax,123960.54,2024,USD
tax_expense,31918.29,2024,USD
net_income,92042.25,2024,USD
total_assets,14144846.63,2024,USD
current_assets,5586333.12,2024,USD
cash_and_equivalents,1238600.57,2024,USD
accounts_receivable,1428778.69,2024,USD
inventory,2458436.54,2024,USD
total_liabilities,9119025.84,2024,USD
current_liabilities,2184034.26,2024,USD
long_term_debt,3420897.23,2024,USD
total_equity,5025820.79,2024,USD
operating_cash_flow,63633.85,2024,USD
investing_cash_flow,-602326.92,2024,USD
financing_cash_flow,-209679.61,2024,USD
free_cash_flow,-538693.07,2024,USD
debt_to_equity,1.81,2024,USD
current_ratio,2.56,2024,USD
debt_to_ebitda,14.9,2024,USD
interest_coverage_ratio,1.44,2024,USD
gross_margin,0.39,2024,USD
ebitda_margin,0.1,2024,USD
net_margin,0.01,2024,USD
balance_sheet_check,True,2024,USD
