field,value,fiscal_year,currency
total_revenue,11532646.18,2024,USD
gross_profit,4182071.27,2024,USD
operating_expenses,3928310.11,2024,USD
operating_income,253761.15,2024,USD
ebitda,749333.33,2024,USD
depreciation_amortization,495572.18,2024,USD
interest_expense,465194.54,2024,USD
income_before_tax,-211433.39,2024,USD
tax_expense,0,2024,USD
net_income,-211433.39,2024,USD
total_assets,21602448.18,2024,USD
current_assets,8897507.21,2024,USD
cash_and_equivalents,2041249.31,2024,USD
accounts_receivable,3516852.33,2024,USD
inventory,3310947.94,2024,USD
total_liabilities,13037549.96,2024,USD
current_liabilities,4056039.28,2024,USD
long_term_debt,7732163.76,2024,USD
total_equity,8564898.22,2024,USD
operating_cash_flow,853173.41,2024,USD
investing_cash_flow,-589651.7,2024,USD
financing_cash_flow,-618831.33,2024,USD
free_cash_flow,263521.71,2024,USD
debt_to_equity,1.52,2024,USD
current_ratio,2.19,2024,USD
debt_to_ebitda,17.4,2024,USD
interest_coverage_ratio,0.55,2024,USD
gross_margin,0.36,2024,USD
ebitda_margin,0.06,2024,USD
net_margin,-0.02,2024,USD
balance_sheet_check,True,2024,USD
