field,value,fiscal_year,currency
total_revenue,1791981.31,2024,USD
gross_profit,543043.11,2024,USD
operating_expenses,415391.88,2024,USD
operating_income,127651.23,2024,USD
ebitda,187951.86,2024,USD
depreciation_amortization,60300.62,2024,USD
interest_expense,74236.77,2024,USD
income_before_tax,53414.46,2024,USD
tax_expense,14938.94,2024,USD
net_income,38475.53,2024,USD
total_assets,2847526.08,2024,USD
current_assets,1365679.4,2024,USD
cash_and_equivalents,247132.48,2024,USD
accounts_receivable,422461.4,2024,USD
inventory,685195.04,2024,USD
total_liabilities,1732546.04,2024,USD
current_liabilities,629702.15,2024,USD
long_term_debt,840803.0,2024,USD
total_equity,1114980.05,2024,USD
operating_cash_flow,143212.91,2024,USD
investing_cash_flow,-60930.18,2024,USD
financing_cash_flow,-91157.98,2024,USD
free_cash_flow,82282.73,2024,USD
debt_to_equity,1.55,2024,USD
current_ratio,2.17,2024,USD
debt_to_ebitda,9.22,2024,USD
interest_coverage_ratio,1.72,2024,USD
gross_margin,0.3,2024,USD
ebitda_margin,0.1,2024,USD
net_margin,0.02,2024,USD
balance_sheet_check,True,2024,USD
