field,value,fiscal_year,currency
total_revenue,10236353.26,2024,USD
gross_profit,2377060.33,2024,USD
operating_expenses,1465626.09,2024,USD
operating_income,911434.24,2024,USD
ebitda,1213429.04,2024,USD
depreciation_amortization,301994.81,2024,USD
interest_expense,405991.93,2024,USD
income_before_tax,505442.3,2024,USD
tax_expense,118431.32,2024,USD
net_income,387010.98,2024,USD
total_assets,19586614.62,2024,USD
current_assets,9466156.16,2024,USD
cash_and_equivalents,1460349.27,2024,USD
accounts_receivable,3081742.99,2024,USD
inventory,4245525.82,2024,USD
total_liabilities,6069346.1,2024,USD
current_liabilities,5647915.04,2024,USD
long_term_debt,5357094.92,2024,USD
total_equity,13517268.52,2024,USD
operating_cash_flow,900515.44,2024,USD
investing_cash_flow,-707656.86,2024,USD
financing_cash_flow,-558602.54,2024,USD
free_cash_flow,192858.58,2024,USD
debt_to_equity,0.45,2024,USD
current_ratio,1.68,2024,USD
debt_to_ebitda,5.0,2024,USD
interest_coverage_ratio,2.24,2024,USD
gross_margin,0.23,2024,USD
ebitda_margin,0.12,2024,USD
net_margin,0.04,2024,USD
balance_sheet_check,True,2024,USD
