field,value,fiscal_year,currency
total_revenue,10130820.65,2024,USD
gross_profit,6030715.08,2024,USD
operating_expenses,5081150.96,2024,USD
operating_income,949564.12,2024,USD
ebitda,1191065.91,2024,USD
depreciation_amortization,241501.79,2024,USD
interest_expense,336530.03,2024,USD
income_before_tax,613034.09,2024,USD
tax_expense,161475.8,2024,USD
net_income,451558.29,2024,USD
total_assets,12442145.6,2024,USD
current_assets,5846913.75,2024,USD
cash_and_equivalents,1269519.87,2024,USD
accounts_receivable,1566154.11,2024,USD
inventory,2040541.63,2024,USD
total_liabilities,3252589.05,2024,USD
current_liabilities,2419764.81,2024,USD
long_term_debt,4087388.4,2024,USD
total_equity,9189556.55,2024,USD
operating_cash_flow,984919.33,2024,USD
investing_cash_flow,-538880.63,2024,USD
financing_cash_flow,-310870.1,2024,USD
free_cash_flow,446038.7,2024,USD
debt_to_equity,0.35,2024,USD
current_ratio,2.42,2024,USD
debt_to_ebitda,2.73,2024,USD
interest_coverage_ratio,2.82,2024,USD
gross_margin,0.6,2024,USD
ebitda_margin,0.12,2024,USD
net_margin,0.04,2024,USD
balance_sheet_check,True,2024,USD
